Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
3.28,1.364681397,1.365548623,1.365527473,1.365517798,1.365514991,1.365514205,1.365513616,1.365511226,1.36550195,1.365475182,1.365413702,1.365294396,1.365090348,1.364773512,1.364317168,1.36369776,1.362895955,1.361897013,1.36069063,1.359270454
3.32,1.381144412,1.383183462,1.383244308,1.383257763,1.383260765,1.383261237,1.383260856,1.383258628,1.383249994,1.383224944,1.383166969,1.383053671,1.382858733,1.382554504,1.382114439,1.381514958,1.380736567,1.379764289,1.378587568,1.377199823
3.36,1.402119665,1.405268364,1.405368753,1.405387521,1.405390846,1.405391538,1.405391562,1.405389908,1.40538237,1.405359628,1.405306053,1.405200096,1.405016071,1.404726621,1.40430514,1.403727678,1.402974148,1.402028856,1.400880496,1.399521777
3.4,1.425004108,1.42784413,1.427773731,1.427742889,1.427734591,1.427732655,1.427731977,1.427730231,1.427723352,1.42770274,1.427653817,1.427556193,1.427385229,1.427114331,1.426717281,1.426170145,1.425452526,1.42454818,1.423445094,1.422135196
3.44,1.445820193,1.448278828,1.448354386,1.448374714,1.448380198,1.448381434,1.448381376,1.448379874,1.448373691,1.448355011,1.448310255,1.448220155,1.448061136,1.447807442,1.447433379,1.446915194,1.446232367,1.445368287,1.444310406,1.443050017
3.48,1.463963711,1.465316615,1.46541451,1.465434425,1.465437828,1.465438276,1.465438157,1.465436901,1.465431324,1.465414011,1.465371988,1.46528666,1.465135054,1.464891852,1.46453159,1.464030538,1.463368031,1.462527204,1.461495195,1.460262977
3.52,1.483660987,1.483469366,1.483515121,1.483521448,1.483522512,1.483522953,1.483523104,1.483522146,1.483517103,1.483500962,1.483461243,1.483379829,1.483234097,1.48299888,1.482648644,1.482159406,1.481510115,1.480683456,1.479666124,1.478448698
3.56,1.507293478,1.506303595,1.506247565,1.506217543,1.506208175,1.506205551,1.506204637,1.506203331,1.506198569,1.506183748,1.506147078,1.506071231,1.505934287,1.505711559,1.505377697,1.504908602,1.504282853,1.503482583,1.50249383,1.501306485
3.6,1.528689837,1.527650172,1.527742545,1.527769551,1.527776922,1.527778768,1.527778996,1.527778066,1.52777384,1.527760432,1.527726932,1.52765705,1.527529924,1.527321798,1.527008017,1.526564883,1.525971091,1.525208638,1.524263231,1.523124298
3.64,1.547953878,1.547007808,1.547140392,1.547177186,1.547185962,1.54718798,1.547188429,1.547187867,1.547184306,1.547172321,1.547141784,1.547077411,1.546959435,1.546765122,1.546470654,1.546052923,1.54549094,1.544766773,1.543865988,1.542777716
3.68,1.566439388,1.564829481,1.564796217,1.564772852,1.564763283,1.564760301,1.564759477,1.564758656,1.564755298,1.564744142,1.564715532,1.564654782,1.564542718,1.564357094,1.564074403,1.563671652,1.563127783,1.562424647,1.5615475,1.560485108
3.72,1.586065824,1.584136393,1.584088994,1.584064487,1.584056644,1.58405456,1.584053894,1.584053013,1.584049768,1.584039269,1.584012282,1.58395455,1.583847241,1.583668274,1.583394093,1.583001436,1.582468811,1.581777514,1.580912201,1.57986105
3.76,1.609021264,1.607118914,1.60723207,1.607269029,1.607278933,1.60728132,1.6072817,1.607281132,1.607278288,1.607268809,1.607244088,1.607190605,1.607090256,1.60692155,1.6066613,1.606286344,1.605775037,1.605108315,1.604270318,1.603248625
3.8,1.629407332,1.628086736,1.628213782,1.62825282,1.628262974,1.628265592,1.62826632,1.62826615,1.628263859,1.628255448,1.628232922,1.628183567,1.628090161,1.627932058,1.627686765,1.627331609,1.626845201,1.626208516,1.625405555,1.624423622
3.84,1.646738488,1.646159094,1.646118835,1.646091445,1.646079272,1.646075042,1.646073775,1.646073086,1.646070862,1.646063116,1.646042301,1.645996413,1.645909087,1.645760561,1.645529146,1.64519283,1.644730698,1.644124006,1.643356863,1.642416527
3.88,1.663049086,1.663873101,1.66380224,1.663759562,1.663743826,1.663739032,1.663737591,1.663736728,1.663734462,1.663727102,1.663707524,1.663664262,1.663581533,1.663440122,1.663218776,1.662895765,1.662450285,1.661863555,1.661119515,1.660205172
3.92,1.682050466,1.684162172,1.684267639,1.684305558,1.684317941,1.684321711,1.68432264,1.684322406,1.684320458,1.684313708,1.684295507,1.684254876,1.684176495,1.684041493,1.683828789,1.683516611,1.683083914,1.682511508,1.681782807,1.680884231
3.96,1.704602688,1.707817197,1.707997775,1.708053148,1.708068058,1.708071779,1.708072717,1.708072752,1.7080713,1.708065469,1.708049065,1.708011746,1.7079389,1.707812314,1.707611405,1.707314691,1.706901181,1.706351521,1.705648788,1.704778934
4,1.725832557,1.729005378,1.728989915,1.728965019,1.728953026,1.728948657,1.728947298,1.728946722,1.728945245,1.728939891,1.72892481,1.728890243,1.728822283,1.728703434,1.728513754,1.728232245,1.727838219,1.727312438,1.726637922,1.725800431
