Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.4,1.7317070259398197e-05,1.5033918231679909e-05,1.281984387012285e-05,1.07122277116719e-05,8.748359711879298e-06,6.962511953692264e-06,5.382878461151977e-06,4.028800267275046e-06,2.9087175494264402e-06,2.019218098124462e-06,1.3453916392770265e-06,8.624911884608914e-07,5.386980169725792e-07,3.386277524671189e-07,2.271138705112897e-07,1.7274396028116924e-07,1.5058388049201665e-07,1.4353568992118801e-07,1.419639016220086e-07,1.4175375056029618e-07
0.44,9.238697061664411e-05,9.017594530475515e-05,8.815088726564468e-05,8.628494804138638e-05,8.454809834125713e-05,8.290705287244866e-05,8.132519978855646e-05,7.976250506306e-05,7.81753374928613e-05,7.651612329538966e-05,7.473268681437468e-05,7.276706268044741e-05,7.055347428932201e-05,6.801506946627802e-05,6.505890811334113e-05,6.156867073347805e-05,5.7394783102263346e-05,5.23426968300885e-05,4.6163758674115005e-05,3.856537454576586e-05
0.48,0.0004041526074212423,0.00038656739437824565,0.0003691650895924625,0.0003519710242674774,0.00033501421509535886,0.00031832793423330663,0.0003019503786692969,0.0002859254579422308,0.00027030372174101803,0.0002551434501609338,0.00024051192717950144,0.00022648690782958557,0.00021315826280954975,0.0002006297234226785,0.0001890205200040615,0.0001784664387002896,0.00016911927463934292,0.00016114255605792152,0.00015469922917995263,0.0001499229079556907
0.52,0.001870990621635541,0.0018559491299036095,0.001841186325252505,0.0018267249934666814,0.0018125905614974638,0.0017988114655351254,0.00178541957236567,0.0017724506588722231,0.001759944952387544,0.0017479477299443115,0.0017365099652986047,0.0017256889953395527,0.0017155491456881864,0.001706162197148945,0.001697607468442824,0.0016899710956694977,0.001683343728882558,0.0016778151993859206,0.0016734634918025308,0.0016703332618982342
0.56,0.0042268102358692305,0.0042184316729177215,0.004210190312178447,0.00420207699425064,0.004194081902632624,0.004186194742577545,0.004178404992771223,0.00417070224231555,0.004163076624548219,0.00415551935725048,0.004148023396423038,0.004140584210165357,0.004133200685304975,0.004125876202473931,0.004118619973861345,0.004111448863085579,0.0041043901489230756,0.004097486138880356,0.0040908023517997275,0.004084442557410944
0.6,0.007165991376981291,0.007163787618108516,0.007161731569812988,0.007159817935043634,0.007158040377542678,0.007156391385342718,0.00715486215024323,0.007153442479740014,0.007152120762046801,0.007150884008181826,0.007149717996107198,0.007148607538175167,0.007147536880987188,0.007146490221278175,0.007145452277311258,0.007144408789862027,0.007143346746382665,0.007142254048576935,0.007141118308910919,0.007139924442646743
0.64,0.0103818564874666,0.010381357294769154,0.010380897658557214,0.010380476129038838,0.010380091440162203,0.01037974246871712,0.01037942817523069,0.010379147526804855,0.010378899404075817,0.0103786824970851,0.010378495197975426,0.01037833550197877,0.010378200932094244,0.010378088507094034,0.010377994776702476,0.010377915950469236,0.010377848143721481,0.010377787746333245,0.010377731876910929,0.010377678819217428
0.68,0.013718065312207277,0.013717975227532478,0.013717892683970027,0.013717816991613034,0.013717747554556268,0.013717683877009184,0.01371762556696772,0.0137175723360708,0.013717523994289065,0.013717480438327106,0.013717441633082177,0.013717407586142403,0.013717378316004607,0.013717353815281082,0.0137173340105542,0.013717318720945743,0.013717307618713585,0.013717300198828119,0.013717295772206884,0.013717293508265544
0.72,0.017120832136862326,0.0171208179466316,0.017120805223379394,0.017120793785100466,0.017120783463064063,0.017120774102724546,0.017120765565265834,0.01712075772961807,0.01712075049467294,0.017120743781322577,0.01712073753388895,0.017120731720527062,0.017120726332298976,0.017120721380826046,0.01712071689467408,0.01712071291478842,0.017120709489168117,0.01712070666634791,0.017120704486072526,0.017120702964051084
0.76,0.020568137524928365,0.02056813533808585,0.02056813342182755,0.020568131745007222,0.02056813027863518,0.020568128995400368,0.020568127869347367,0.020568126875743564,0.020568125991157045,0.02056812519374249,0.0205681244636995,0.020568123783829866,0.0205681231400913,0.02056812252202345,0.02056812192293867,0.02056812133982619,0.020568120773031193,0.02056812022591705,0.020568119704853775,0.020568119219944198
0.8,0.02404816109970584,0.024048160764315547,0.024048160472055918,0.024048160218142316,0.024048159998436184,0.024048159809298853,0.024048159647448192,0.024048159509824446,0.024048159393476792,0.024048159295479706,0.024048159212890986,0.02404815914275741,0.024048159082169937,0.024048159028361087,0.024048158978827387,0.024048158931447263,0.024048158884557497,0.024048158836947105,0.02404815878774455,0.024048158736204906
0.84,0.02755348609027096,0.02755348604123422,0.027553485998486088,0.027553485961189065,0.027553485928654253,0.02755348590032336,0.02755348587574885,0.0275534858545726,0.027553485836501943,0.027553485821285625,0.027553485808689097,0.027553485798473495,0.027553485790378494,0.027553485784113558,0.027553485779357085,0.027553485775767834,0.027553485773005655,0.027553485770762023,0.027553485768793077,0.02755348576694376
0.88,0.03107903378354958,0.031079033776744175,0.031079033770871893,0.031079033765783377,0.031079033761352515,0.031079033757474714,0.031079033754065302,0.031079033751058076,0.031079033748403675,0.03107903374606732,0.031079033744026343,0.03107903374226668,0.031079033740779523,0.031079033739557102,0.03107903373858955,0.031079033737861417,0.03107903373734949,0.03107903373702131,0.031079033736835984,0.031079033736747603
