Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
1.28,0.0668186173541068,0.0668186173541068,0.0668186173541068,0.0668186173541068,0.0668186173541068,0.06681861735410682,0.06681861735410681,0.06681861735410681,0.06681861735410682,0.06681861735410681,0.06681861735410681,0.06681861735410682,0.0668186173541068,0.0668186173541068,0.06681861735410682,0.06681861735410681,0.06681861735410682,0.06681861735410682,0.06681861735410678,0.06681861735410682
1.32,0.07043612018675731,0.07043612018675734,0.07043612018675735,0.07043612018675731,0.07043612018675732,0.07043612018675734,0.07043612018675731,0.07043612018675734,0.07043612018675734,0.07043612018675734,0.07043612018675731,0.07043612018675735,0.07043612018675734,0.07043612018675735,0.07043612018675735,0.07043612018675732,0.07043612018675731,0.07043612018675732,0.07043612018675734,0.07043612018675734
1.36,0.07405265298972588,0.07405265298972591,0.07405265298972591,0.07405265298972591,0.07405265298972591,0.07405265298972591,0.07405265298972591,0.0740526529897259,0.0740526529897259,0.07405265298972591,0.07405265298972594,0.07405265298972592,0.0740526529897259,0.0740526529897259,0.07405265298972591,0.07405265298972591,0.0740526529897259,0.07405265298972594,0.07405265298972588,0.07405265298972591
1.4000000000000001,0.07766906327437917,0.0776690632743792,0.07766906327437917,0.07766906327437915,0.07766906327437917,0.07766906327437917,0.07766906327437918,0.07766906327437917,0.0776690632743792,0.07766906327437918,0.07766906327437915,0.07766906327437918,0.07766906327437918,0.0776690632743792,0.07766906327437918,0.07766906327437918,0.07766906327437918,0.07766906327437918,0.07766906327437915,0.0776690632743792
1.44,0.08128640477940913,0.08128640477940914,0.08128640477940914,0.08128640477940913,0.08128640477940913,0.08128640477940913,0.08128640477940913,0.08128640477940914,0.08128640477940915,0.0812864047794091,0.08128640477940911,0.08128640477940914,0.08128640477940913,0.08128640477940913,0.08128640477940913,0.08128640477940913,0.08128640477940911,0.08128640477940914,0.08128640477940913,0.08128640477940913
1.48,0.08490568124333124,0.0849056812433313,0.08490568124333127,0.08490568124333125,0.08490568124333125,0.08490568124333125,0.08490568124333125,0.08490568124333125,0.08490568124333127,0.08490568124333124,0.08490568124333125,0.08490568124333124,0.08490568124333124,0.08490568124333125,0.08490568124333125,0.08490568124333125,0.08490568124333124,0.08490568124333127,0.08490568124333127,0.08490568124333127
1.52,0.08852763176656245,0.08852763176656246,0.08852763176656245,0.08852763176656246,0.08852763176656243,0.08852763176656246,0.08852763176656245,0.08852763176656242,0.08852763176656242,0.08852763176656246,0.08852763176656248,0.08852763176656243,0.08852763176656245,0.08852763176656245,0.08852763176656243,0.08852763176656242,0.08852763176656248,0.08852763176656243,0.08852763176656243,0.08852763176656243
1.56,0.09215259426144845,0.09215259426144845,0.09215259426144846,0.09215259426144845,0.09215259426144842,0.09215259426144844,0.09215259426144842,0.09215259426144842,0.09215259426144845,0.09215259426144842,0.09215259426144844,0.09215259426144846,0.09215259426144846,0.09215259426144844,0.09215259426144844,0.09215259426144841,0.09215259426144845,0.09215259426144844,0.09215259426144845,0.09215259426144842
1.6,0.09578046864473126,0.09578046864473129,0.09578046864473128,0.09578046864473128,0.09578046864473125,0.0957804686447313,0.0957804686447313,0.09578046864473126,0.09578046864473129,0.09578046864473128,0.09578046864473126,0.09578046864473125,0.09578046864473125,0.09578046864473126,0.09578046864473128,0.09578046864473128,0.09578046864473128,0.09578046864473126,0.09578046864473128,0.09578046864473129
1.6400000000000001,0.09941077832975648,0.09941077832975649,0.0994107783297565,0.09941077832975649,0.0994107783297565,0.0994107783297565,0.09941077832975649,0.09941077832975652,0.09941077832975653,0.09941077832975645,0.09941077832975653,0.0994107783297565,0.09941077832975649,0.09941077832975649,0.09941077832975645,0.09941077832975652,0.0994107783297565,0.09941077832975648,0.09941077832975646,0.0994107783297565
